idCustomer;dni;nameCustomer;lastNameCustomer;address;phone
1;30480277;Maria;Anders;Obere Str. 57;030-0074321
2;30480918;Ana;Trujillo;Avda. de la Constituci�n 2222;(5) 555-4729
3;30480412;Antonio;Moreno;Mataderos  2312;(5) 555-3932
4;23143152;Thomas;Hardy;120 Hanover Sq.;(71) 555-7788
5;30488415;Christina;Berglund;Berguvsv�gen  8;0921-12 34 65
6;30480725;Hanna;Moos;Forsterstr. 57;0621-08460
7;30481007;Felipe;Citeaux;24, place Klsber;88.60.15.31
8;30480164;Martine;Sommer;C/ Araquil, 67;(91) 555 22 82
9;30481945;Laurence;Lebihan;12, rue des Bouchers;91.24.45.40
10;30480236;Elizabeth;Lincoln;23 Tsawassen Blvd.;(604) 555-4729
11;95791582;Victoria;Ashworth;Fauntleroy Circus;(71) 555-1212
12;29305845;Patricio;Simpson;Cerrito 333;(1) 135-5555
13;30417457;Francisco;Chang;Sierras de Granada 9993;(5) 555-3392
14;29681732;Yang;Wang;Hauptstr. 29;0452-076545
15;29556537;Pedro;Afonso;Av. dos Lus�adas, 23;(11) 555-7647
16;29656962;Elizabeth;Brown;Berkeley Gardens 12  Brewery;(71) 555-2282
17;41122453;Sven;Ottlieb;Walserweg 21;0241-039123
18;29625766;Janine;Labrune;67, rue des Cinquante Otages;40.67.88.88
19;29549798;Ann;Devon;35 King George;(71) 555-0297
20;30418396;Roland;Mendel;Kirchgasse 6;7675-3425
21;70418124;Aria;Cruz;Rua Ors, 92;(11) 555-9857
22;45376973;Diego;Roel;C/ Moralzarzal, 86;(91) 555 94 44
23;30480236;Martine;Ranc�;184, chausse de Tournai;20.16.10.16
24;92579158;Maria;Larsson;Skergatan 24;0695-34 67 21
25;29305845;Peter;Franken;Berliner Platz 43;089-0877310
26;30417457;Carine;Schmitt;54, rue Royale;40.32.21.21
27;29681732;Paolo;Accorti;Via Monte Bianco 34;011-4988260
28;29556537;Lino;Rodriguez;Jardim das rosas n. 32;(1) 354-2534
29;29656962;Eduardo;Saavedra;Rambla de Cataluda, 23;(93) 203 4560
30;41122453;Jos�;Pedro Freyre;C/ Romero, 33;(95) 555 82 82
31;29625766;Andr�;Fonseca;Av. Brasil, 442;(11) 555-9482
32;29549798;Howard;Snyder;2732 Baker Blvd.;(503) 555-7555
33;30418396;Manuel;Pereira;5 Ave. Los Palos Grandes;(2) 283-2951
34;30488415;Mario;Pontes;Rua do Pao, 67;(21) 555-0091
35;30480725;Carlos;Hern�ndez;Carrera 22 con Ave. Carlos Soublette #8-35;(5) 555-1340
36;30481007;Yoshi;Latimer;City Center Plaza 516 Main St.;(503) 555-6874
37;30480164;Patricia;McKenna;8 Johnstown Road;2967 542
38;30481945;Helen;Bennett;Garden House Crowther Way;(198) 555-8888
39;30480236;Philip;Cramer;Maubelstr. 90;0555-09876
40;95791583;Daniel;Tonini;67, avenue de l'Europe;30.59.84.10
41;29305845;Annette;Roulet;1 rue Alsace-Lorraine;61.77.61.10
42;30417457;Yoshi;Tannamuri;1900 Oak St.;(604) 555-3392
43;29681732;John;Steel;12 Orchestra Terrace;(509) 555-7969
44;29556537;Renate;Messner;Magazinweg 7;069-0245984
45;29656962;Jaime;Yorres;87 Polk St.Suite 5;(415) 555-5938
46;41122453;Carlos;Gonz�lez;Carrera 52 con Ave. Bol�var #65-98 Llano Largo;(9) 331-6954
47;29625766;Felipe;Izquierdo;Ave. 5 de Mayo Porlamar;(8) 34-56-12
48;29549798;Fran;Wilson;89 Chiaroscuro Rd.;(503) 555-9573
49;30418396;Giovanni;Rovelli;Via Ludovico il Moro 22;035-640230
50;70418124;Catherine;Dewey;Via Monte Bianco 34;(02) 201 24 67
